BuyBefore,SellAfter,FinalEquity,TotalReturnPct,MaxDrawdownPct,TotalTrades,ReportDir
50,30,606387.42,506.39,-40.22,3160,reports/portfolio_20260315_180628
50,35,621722.0,521.72,-39.47,2830,reports/portfolio_20260315_180630
50,40,530081.91,430.08,-41.25,2098,reports/portfolio_20260315_180632
50,45,435048.91,335.05,-34.38,934,reports/portfolio_20260315_180634
50,50,429379.68,329.38,-36.85,870,reports/portfolio_20260315_180637
50,55,434275.87,334.28,-36.59,869,reports/portfolio_20260315_180639
50,60,436370.11,336.37,-36.79,866,reports/portfolio_20260315_180642
55,5,635498.76,535.5,-39.76,4693,reports/portfolio_20260315_180644
55,10,618280.82,518.28,-39.55,4175,reports/portfolio_20260315_180646
55,15,578371.95,478.37,-39.07,3810,reports/portfolio_20260315_180649
55,20,587141.45,487.14,-38.73,3543,reports/portfolio_20260315_180651
55,25,581408.01,481.41,-39.91,3218,reports/portfolio_20260315_180653
55,30,617162.72,517.16,-39.26,2837,reports/portfolio_20260315_180655
55,35,534074.17,434.07,-40.5,2379,reports/portfolio_20260315_180658
55,40,432419.47,332.42,-34.79,925,reports/portfolio_20260315_180700
55,45,433579.33,333.58,-37.72,866,reports/portfolio_20260315_180702
55,50,429132.67,329.13,-37.39,859,reports/portfolio_20260315_180704
55,55,421266.15,321.27,-37.78,858,reports/portfolio_20260315_180707
55,60,388918.0,288.92,-38.23,852,reports/portfolio_20260315_180710
60,5,652429.7,552.43,-40.89,4265,reports/portfolio_20260315_180712
60,10,623406.34,523.41,-40.36,3839,reports/portfolio_20260315_180714
60,15,572180.99,472.18,-40.26,3535,reports/portfolio_20260315_180717
60,20,563081.44,463.08,-40.63,3258,reports/portfolio_20260315_180719
60,25,591382.77,491.38,-40.12,2802,reports/portfolio_20260315_180721
60,30,579688.4,479.69,-41.15,1878,reports/portfolio_20260315_180724
60,35,506619.15,406.62,-36.4,941,reports/portfolio_20260315_180726
60,40,501140.2,401.14,-40.62,873,reports/portfolio_20260315_180728
60,45,464315.83,364.32,-40.07,855,reports/portfolio_20260315_180730
60,50,487229.64,387.23,-40.19,857,reports/portfolio_20260315_180733
60,55,466720.44,366.72,-40.73,854,reports/portfolio_20260315_180735
60,60,463469.85,363.47,-41.03,851,reports/portfolio_20260315_180737
