Date,Equity,Cash,RunningMax,DrawdownPct,CD_5Pct,S&P500_SPY,EqualWeight_RSP,Balanced_60_40
2019-02-06,179211.45470998524,2643.672620751832,190738.6058029751,-6.043428410553087,115181.22674157862,152976.9386439096,145381.00783888192,137721.42077920234
2019-02-07,179461.1598380446,2699.157620751832,190738.6058029751,-5.912513577130585,115203.52934085696,151518.6522962746,144335.02317614984,136959.4385288619
2019-02-08,179390.623713243,2875.057620751832,190738.6058029751,-5.9494940953139235,115225.83625859888,151703.70024802134,144607.28386937754,137182.5592048666
2019-02-11,179462.9024176192,2914.277620751832,190738.6058029751,-5.911599981496785,115248.14749564059,151787.85447981852,145008.4594325062,137171.9918620629
2019-02-12,180936.50087114092,2914.277620751832,190738.6058029751,-5.1390251546450605,115270.46305281844,153739.8082225094,146799.40500003786,138240.64171272027
2019-02-13,181931.15571542497,2914.277620751832,190738.6058029751,-4.617549787822107,115292.7829309689,154238.94759351044,147444.11525749453,138411.9655883722
2019-02-14,180828.24270578142,2914.277620751832,190738.6058029751,-5.1957824979756095,115315.10713092869,153896.79207501718,147100.2434289452,138310.47729869926
2019-02-15,183405.77131353138,2997.927620751832,190738.6058029751,-3.844441694733902,115337.43565353463,155573.88132862083,148747.96672583357,139256.10217825178
2019-02-19,183681.44362436055,2997.927620751832,190738.6058029751,-3.699912846120046,115359.76849962371,155843.11206160445,149020.1532874512,139431.82566022198
2019-02-20,184290.94395515963,2624.99202892826,190738.6058029751,-3.3803654067156352,115382.10567003308,156157.20348085876,149550.2684310175,139605.61702048036
2019-02-21,184191.33102806614,2668.85202892826,190738.6058029751,-3.432590244301159,115404.44716560008,155601.90736194016,148977.18166415085,139182.96528181245
2019-02-22,185425.11790188358,2668.85202892826,190738.6058029751,-2.7857432839684892,115426.79298716219,156566.6785781978,149765.2006791292,139841.0560204499
2019-02-25,184909.00944527195,2668.85202892826,190738.6058029751,-3.056327445176399,115449.14313555702,156779.79062918344,149793.82783588217,139939.609596791
2019-02-26,185019.66908939884,2668.85202892826,190738.6058029751,-2.9983110600502516,115471.49761162243,156667.59133110713,149392.66462802186,139942.11566617974
2019-02-27,185416.2356901984,2727.85202892826,190738.6058029751,-2.79040002959573,115493.85641619636,156600.32885114077,149435.68567239557,139786.2679495464
2019-02-28,185371.93571037624,5027.2583689150615,190738.6058029751,-2.813625521695595,115516.21955011695,156308.6392255821,149077.49408783557,139531.02564184924
2019-03-01,186136.33703984402,4501.070214168056,190738.6058029751,-2.4128669409930747,115538.58701422249,157284.56375628803,150080.4206403889,140133.80234714458
2019-03-04,185431.21374406002,4501.070214168056,190738.6058029751,-2.782547369774424,115560.95880935142,156712.49959977737,149364.0374712689,139896.3281562074
2019-03-05,185286.24081481312,3363.92123950337,190738.6058029751,-2.8585534455431882,115583.33493634239,156499.32093343238,148905.55817356092,139818.86909076656
2019-03-06,183780.88745749806,3363.92123950337,190738.6058029751,-3.64777666072702,115605.71539603415,155551.40340308592,147601.70670522188,139394.48003017437
2019-03-07,182130.7461401305,3363.92123950337,190738.6058029751,-4.512908976453433,115628.10018926566,154250.16752331803,146455.53317148858,138851.1816717624
2019-03-08,181490.8326603446,2475.798907903183,190738.6058029751,-4.848401352048814,115650.48931687603,153941.64324480796,145997.07858431726,138757.0024634839
2019-03-11,183635.42674413061,2475.798907903183,190738.6058029751,-3.724038470838864,115672.88277970451,156174.03813381016,147888.31186499694,139969.52200186122
2019-03-12,184516.08936944342,2475.798907903183,190738.6058029751,-3.262326683859307,115695.28057859055,156762.95597623204,148375.40596418956,140390.41220066047
2019-03-13,185532.6466345725,2175.9051108298227,190738.6058029751,-2.7293683659301404,115717.68271437373,157800.60439559983,149263.72504758422,140921.8760098076
2019-03-14,185786.26128502417,2316.3248273901863,190738.6058029751,-2.596403857049523,115740.0891878938,157699.64406029097,149048.81751000922,140783.94904512784
2019-03-15,187096.61083267737,2467.3548273901865,190738.6058029751,-1.909416793189611,115762.49999999072,159243.9937895725,149593.2153437812,141752.69572758258
2019-03-18,187769.4823260169,2467.3548273901865,190738.6058029751,-1.5566452656286978,115784.91515150451,159821.3541734044,151069.16899011945,142050.55033008195
2019-03-19,186673.35273884344,2467.3548273901865,190738.6058029751,-2.1313215785643824,115807.33464327543,159860.99044474468,150808.74807147123,142040.04213281328
2019-03-20,185045.97266257237,2627.445433263296,190738.6058029751,-2.9845206828674087,115829.75847614392,159379.79941697288,149752.64624301327,142015.78293901545
2019-03-21,187243.47632911825,2958.5151379408817,190738.6058029751,-1.8324184866209903,115852.18665095052,161179.9746307639,151676.8302190358,142988.7483825942
2019-03-22,183963.58252998113,2726.876274068356,190738.6058029751,-3.5519937059791062,115874.61916853597,158077.86504320928,148566.3463739684,141623.3040728482
2019-03-25,183926.3082170081,2726.876274068356,190738.6058029751,-3.571535797532155,115897.05602974116,157958.97535404796,148609.7498604098,141663.69397184567
2019-03-26,185697.87727444983,2363.6828259787562,190738.6058029751,-2.6427416239647505,115919.49723540715,159136.4068923832,149853.89620723546,142307.67507938316
2019-03-27,185100.12230103827,2363.6828259787562,190738.6058029751,-2.956131234261583,115941.94278637518,158304.28425498132,149362.00244630378,141981.4998229346
2019-03-28,186427.73075654363,2519.272825978756,190738.6058029751,-2.260095709666876,115964.3926834866,158904.34584705494,150201.1489362408,142309.63317265993
2019-03-29,187721.52415635443,2519.272825978756,190738.6058029751,-1.5817886651311674,115986.84692758297,159906.2302999222,151098.1170664842,142842.7550577412
2019-04-01,190155.96768071508,2519.272825978756,190738.6058029751,-0.3054641821498172,116009.30551950599,161802.6226819221,153022.3258799811,143765.88261851593
2019-04-02,190132.91859128332,2519.272825978756,190738.6058029751,-0.3175483060400608,116031.76846009755,161881.89522460266,152906.52115578487,143871.86137842035
2019-04-03,190785.19899442053,2519.272825978756,190785.19899442053,0.0,116054.23575019966,162136.63835331314,153326.08819138477,143901.551253992
2019-04-04,192400.9898338332,2335.7081241621995,192400.9898338332,0.0,116076.70739065454,162566.85206805356,153832.43736239304,144173.1932559922
2019-04-05,193289.91804071952,1261.0996908812594,193289.91804071952,0.0,116099.18338230456,163353.74441270766,154830.69271307017,144634.5024229775
2019-04-08,192749.70000734855,1275.2896908812595,193289.91804071952,-0.27948588257830087,116121.66372599221,163478.30462271452,154932.00477097827,144674.0045404455
2019-04-09,191164.39269724418,1350.2896908812595,193289.91804071952,-1.09965660134822,116144.1484225602,162640.4636523183,153716.73198809428,144261.14048619763
